,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
9557,SP1,10/03/18,Malaga,Barcelona,0,2,Barcelona
9558,SP1,10/03/18,Sevilla,Valencia,0,2,Valencia
9559,SP1,11/03/18,Ath Bilbao,Leganes,2,0,Ath Bilbao
9560,SP1,11/03/18,Ath Madrid,Celta,3,0,Ath Madrid
9561,SP1,11/03/18,Espanol,Sociedad,2,1,Espanol
9562,SP1,11/03/18,Las Palmas,Villarreal,0,2,Villarreal
9563,SP1,12/03/18,Alaves,Betis,1,3,Betis
9564,SP1,16/03/18,Levante,Eibar,2,1,Levante
9565,SP1,17/03/18,Betis,Espanol,3,0,Betis
9566,SP1,17/03/18,La Coruna,Las Palmas,1,1,D
9567,SP1,17/03/18,Sociedad,Getafe,1,2,Getafe
9568,SP1,17/03/18,Valencia,Alaves,3,1,Valencia
9569,SP1,18/03/18,Barcelona,Ath Bilbao,2,0,Barcelona
9570,SP1,18/03/18,Celta,Malaga,0,0,D
9571,SP1,18/03/18,Leganes,Sevilla,2,1,Leganes
9572,SP1,18/03/18,Real Madrid,Girona,6,3,Real Madrid
9573,SP1,18/03/18,Villarreal,Ath Madrid,2,1,Villarreal
9574,SP1,31/03/18,Ath Bilbao,Celta,1,1,D
9575,SP1,31/03/18,Girona,Levante,1,1,D
9576,SP1,31/03/18,Las Palmas,Real Madrid,0,3,Real Madrid
9577,SP1,31/03/18,Sevilla,Barcelona,2,2,D
9578,SP1,01/04/18,Ath Madrid,La Coruna,1,0,Ath Madrid
9579,SP1,01/04/18,Eibar,Sociedad,0,0,D
9580,SP1,01/04/18,Espanol,Alaves,0,0,D
9581,SP1,01/04/18,Leganes,Valencia,0,1,Valencia
9582,SP1,01/04/18,Malaga,Villarreal,1,0,Malaga
9583,SP1,02/04/18,Getafe,Betis,0,1,Betis
9584,SP1,06/04/18,La Coruna,Malaga,3,2,La Coruna
9585,SP1,07/04/18,Alaves,Getafe,2,0,Alaves
9586,SP1,07/04/18,Barcelona,Leganes,3,1,Barcelona
9587,SP1,07/04/18,Betis,Eibar,2,0,Betis
9588,SP1,07/04/18,Celta,Sevilla,4,0,Celta
9589,SP1,08/04/18,Levante,Las Palmas,2,1,Levante
9590,SP1,08/04/18,Real Madrid,Ath Madrid,1,1,D
9591,SP1,08/04/18,Sociedad,Girona,5,0,Sociedad
9592,SP1,08/04/18,Valencia,Espanol,1,0,Valencia
9593,SP1,09/04/18,Villarreal,Ath Bilbao,1,3,Ath Bilbao
9594,SP1,13/04/18,Girona,Betis,0,1,Betis
9595,SP1,14/04/18,Ath Bilbao,La Coruna,2,3,La Coruna
9596,SP1,14/04/18,Barcelona,Valencia,2,1,Barcelona
9597,SP1,14/04/18,Las Palmas,Sociedad,0,1,Sociedad
9598,SP1,14/04/18,Leganes,Celta,1,0,Leganes
9599,SP1,14/04/18,Sevilla,Villarreal,2,2,D
9600,SP1,15/04/18,Ath Madrid,Levante,3,0,Ath Madrid
9601,SP1,15/04/18,Eibar,Alaves,0,1,Alaves
9602,SP1,15/04/18,Getafe,Espanol,1,0,Getafe
9603,SP1,15/04/18,Malaga,Real Madrid,1,2,Real Madrid
9604,SP1,17/04/18,Celta,Barcelona,2,2,D
9605,SP1,17/04/18,La Coruna,Sevilla,0,0,D
9606,SP1,17/04/18,Villarreal,Leganes,2,1,Villarreal
9607,SP1,18/04/18,Espanol,Eibar,0,1,Eibar
9608,SP1,18/04/18,Real Madrid,Ath Bilbao,1,1,D
9609,SP1,18/04/18,Valencia,Getafe,1,2,Getafe
9610,SP1,19/04/18,Alaves,Girona,1,2,Girona
9611,SP1,19/04/18,Betis,Las Palmas,1,0,Betis
9612,SP1,19/04/18,Levante,Malaga,1,0,Levante
9613,SP1,19/04/18,Sociedad,Ath Madrid,3,0,Sociedad
9614,SP1,20/04/18,Leganes,La Coruna,0,0,D
9615,SP1,21/04/18,Celta,Valencia,1,1,D
9616,SP1,21/04/18,Eibar,Getafe,0,1,Getafe
9617,SP1,22/04/18,Ath Madrid,Betis,0,0,D
9618,SP1,22/04/18,Girona,Espanol,0,2,Espanol
9619,SP1,22/04/18,Las Palmas,Alaves,0,4,Alaves
9620,SP1,22/04/18,Malaga,Sociedad,2,0,Malaga
9621,SP1,23/04/18,Ath Bilbao,Levante,1,3,Levante
9622,SP1,27/04/18,Levante,Sevilla,2,1,Levante
9623,SP1,28/04/18,Espanol,Las Palmas,1,1,D
9624,SP1,28/04/18,Real Madrid,Leganes,2,1,Real Madrid
9625,SP1,28/04/18,Sociedad,Ath Bilbao,3,1,Sociedad
9626,SP1,28/04/18,Villarreal,Celta,4,1,Villarreal
9627,SP1,29/04/18,Alaves,Ath Madrid,0,1,Ath Madrid
9628,SP1,29/04/18,Getafe,Girona,1,1,D
9629,SP1,29/04/18,La Coruna,Barcelona,2,4,Barcelona
9630,SP1,29/04/18,Valencia,Eibar,0,0,D
9631,SP1,30/04/18,Betis,Malaga,2,1,Betis
9632,SP1,04/05/18,Sevilla,Sociedad,1,0,Sevilla
9633,SP1,05/05/18,Ath Bilbao,Betis,2,0,Ath Bilbao
9634,SP1,05/05/18,Celta,La Coruna,1,1,D
9635,SP1,05/05/18,Girona,Eibar,1,4,Eibar
9636,SP1,05/05/18,Villarreal,Valencia,1,0,Villarreal
9637,SP1,06/05/18,Ath Madrid,Espanol,0,2,Espanol
9638,SP1,06/05/18,Barcelona,Real Madrid,2,2,D
9639,SP1,06/05/18,Las Palmas,Getafe,0,1,Getafe
9640,SP1,06/05/18,Malaga,Alaves,0,3,Alaves
9641,SP1,07/05/18,Leganes,Levante,0,3,Levante
9642,SP1,09/05/18,Barcelona,Villarreal,5,1,Barcelona
9643,SP1,09/05/18,Sevilla,Real Madrid,3,2,Sevilla
9644,SP1,12/05/18,Alaves,Ath Bilbao,3,1,Alaves
9645,SP1,12/05/18,Betis,Sevilla,2,2,D
9646,SP1,12/05/18,Eibar,Las Palmas,1,0,Eibar
9647,SP1,12/05/18,Getafe,Ath Madrid,0,1,Ath Madrid
9648,SP1,12/05/18,Girona,Valencia,0,1,Valencia
9649,SP1,12/05/18,La Coruna,Villarreal,2,4,Villarreal
9650,SP1,12/05/18,Real Madrid,Celta,6,0,Real Madrid
9651,SP1,12/05/18,Sociedad,Leganes,3,2,Sociedad
9652,SP1,13/05/18,Espanol,Malaga,4,1,Espanol
9653,SP1,13/05/18,Levante,Barcelona,5,4,Levante
9654,SP1,19/05/18,Celta,Levante,4,2,Celta
9655,SP1,19/05/18,Las Palmas,Girona,1,2,Girona
9656,SP1,19/05/18,Leganes,Betis,3,2,Leganes
9657,SP1,19/05/18,Malaga,Getafe,0,1,Getafe
9658,SP1,19/05/18,Sevilla,Alaves,1,0,Sevilla
9659,SP1,19/05/18,Villarreal,Real Madrid,2,2,D
9660,SP1,20/05/18,Ath Bilbao,Espanol,0,1,Espanol
9661,SP1,20/05/18,Ath Madrid,Eibar,2,2,D
9662,SP1,20/05/18,Barcelona,Sociedad,1,0,Barcelona
9663,SP1,20/05/18,Valencia,La Coruna,2,1,Valencia
9664,SP1,17/08/2018,Betis,Levante,0,3,Levante
9665,SP1,17/08/2018,Girona,Valladolid,0,0,D
9666,SP1,18/08/2018,Barcelona,Alaves,3,0,Barcelona
9667,SP1,18/08/2018,Celta,Espanol,1,1,D
9668,SP1,18/08/2018,Villarreal,Sociedad,1,2,Sociedad
9669,SP1,19/08/2018,Eibar,Huesca,1,2,Huesca
9670,SP1,19/08/2018,Real Madrid,Getafe,2,0,Real Madrid
9671,SP1,19/08/2018,Vallecano,Sevilla,1,4,Sevilla
9672,SP1,20/08/2018,Ath Bilbao,Leganes,2,1,Ath Bilbao
9673,SP1,20/08/2018,Valencia,Ath Madrid,1,1,D
9674,SP1,24/08/2018,Getafe,Eibar,2,0,Getafe
9675,SP1,24/08/2018,Leganes,Sociedad,2,2,D
9676,SP1,25/08/2018,Alaves,Betis,0,0,D
